DMY;DMY2;Family;Harvest;ID;Group;Days;Season
2580.615067;2673.991563;48F;1;F931;6;0;Spring
3409.031019;3753.311807;49F;1;F932;3;0;Spring
2726.762493;2388.782232;50F;1;F933;4;0;Spring
2844.439246;3191.651517;51F;1;F934;5;0;Spring
3016.514546;3184.773586;52F;1;F935;2;0;Spring
3957.904871;3990.853638;53F;1;F936;1;0;Spring
3622.350794;3929.913062;54F;1;F937;6;0;Spring
2806.123386;2865.320175;55F;1;F938;4;0;Spring
2110.866093;2521.709896;56F;1;F939;2;0;Spring
2753.174063;3542.894434;57F;1;F940;6;0;Spring
3466.781637;3746.604204;58F;1;F941;4;0;Spring
2222.20794;2015.735095;59F;1;F942;5;0;Spring
2455.271464;2372.938714;60F;1;F943;2;0;Spring
2954.206128;3424.078578;61F;1;F944;1;0;Spring
2131.353937;2322.24283;62F;1;F945;3;0;Spring
2091.686826;2626.839434;63F;1;F946;1;0;Spring
1351.378182;1553.203154;64F;1;F947;3;0;Spring
2741.579935;3003.312306;65F;1;F948;4;0;Spring
3005.495491;2923.378659;66F;1;F949;2;0;Spring
4111.348844;4195.604247;67F;1;F950;6;0;Spring
1837.339364;1805.903246;68F;1;F951;1;0;Spring
3502.072063;3692.570647;69F;1;F952;6;0;Spring
2357.964111;2696.068072;70F;1;F953;4;0;Spring
2891.398523;2694.70096;71F;1;F954;5;0;Spring
2826.948045;2986.127371;72F;1;F955;2;0;Spring
2228.423049;2344.022531;73F;1;F956;6;0;Spring
3737.255711;4093.875782;74F;1;F957;3;0;Spring
2061.032297;2022.514693;75F;1;F958;1;0;Spring
4978.446172;5036.950882;76F;1;F959;3;0;Spring
2407.750882;2539.124391;78F;1;F961;4;0;Spring
6806.300063;6811.302135;79F;1;F962;5;0;Spring
2773.74786;2992.327614;80F;1;F963;2;0;Spring
2571.49316;2607.555409;81F;1;F964;6;0;Spring
2194.584996;2320.246262;82F;1;F965;1;0;Spring
2481.006211;2835.680587;83F;1;F966;3;0;Spring
3364.062686;3790.912395;84F;1;F967;4;0;Spring
1282.678591;1626.495349;85F;1;F968;6;0;Spring
3546.061094;3359.231062;86F;1;F969;6;0;Spring
2894.72924;3186.32085;87F;1;F970;2;0;Spring
1225.138704;1479.036268;88F;1;F971;1;0;Spring
2826.335124;2876.184124;89F;1;F972;6;0;Spring
1282.820199;1547.302208;91F;1;F974;5;0;Spring
2620.688196;3343.951152;92F;1;F975;6;0;Spring
3030.275599;3559.723219;93F;1;F976;1;0;Spring
3361.082537;3273.802143;94F;1;F977;6;0;Spring
2792.466102;2792.871058;95F;1;F978;4;0;Spring
2087.127161;2549.220735;96F;1;F979;2;0;Spring
3146.030333;3149.122683;97F;1;F980;6;0;Spring
3183.913999;3440.55926;98F;1;F981;1;0;Spring
3286.29213;3339.231531;99F;1;F982;4;0;Spring
3360.042168;3666.810584;100F;1;F983;5;0;Spring
1815.68058;2427.735704;101F;1;F984;2;0;Spring
2893.05668;3163.771766;102F;1;F985;1;0;Spring
3242.909764;3549.737974;103F;1;F986;6;0;Spring
2819.886256;3202.94014;104F;1;F987;6;0;Spring
4882.362806;4746.305588;105F;1;F988;4;0;Spring
3494.520904;3858.78315;106F;1;F989;5;0;Spring
1988.012949;1817.311413;107F;1;F990;2;0;Spring
5342.537791;5219.666092;108F;1;F991;3;0;Spring
2842.411212;3179.163161;109F;1;F992;6;0;Spring
